series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
EQ,440.9,441.0,429.0,436.9,430.3,429.95,431.99,464.2,216.75,"1,20,53,566","5,20,70,71,767.70","1,53,943"
EQ,687.0,688.45,669.15,686.4,682.0,679.6,679.27,814.9,532.0,"19,06,863","1,29,52,69,105.80","27,731"
EQ,698.45,717.8,661.0,693.6,679.9,676.6,690.8,828.0,253.0,"36,87,102","2,54,70,55,092.35","67,037"
EQ,515.35,515.8,501.25,512.45,504.85,505.25,505.06,527.4,226.85,"1,25,40,956","6,33,39,93,548.30","1,76,635"
EQ,151.9,153.4,144.21,151.33,146.5,146.44,147.62,170.5,45.35,"2,59,11,911","3,82,51,73,953.72","1,26,397"
EQ,358.75,365.0,354.7,358.2,357.0,357.65,359.12,594.8,239.2,"1,04,08,667","3,73,79,60,899.90","84,838"
EQ,710.0,717.25,696.3,708.35,711.0,712.75,704.93,752.0,283.25,"27,92,221","1,96,83,33,505.10","77,453"
EQ,291.86,294.0,275.5,293.06,275.99,278.3,281.94,311.8,106.0,"1,16,21,546","3,27,65,23,033.35","1,21,401"
EQ,382.9,382.9,374.2,380.45,378.0,377.75,377.54,393.2,185.8,"1,57,09,153","5,93,07,75,206.25","2,06,857"
EQ,"1,014.90","1,014.90",976.40,"1,010.05",987.50,989.95,995.39,"1,097.00",581.6,"47,64,249","4,74,22,71,839.50","89,990"
EQ,342.0,344.7,336.95,342.45,340.95,341.25,340.81,348.75,190.65,"1,39,08,161","4,74,00,43,866.55","2,10,347"
EQ,113.45,114.6,107.5,113.21,108.6,108.3,109.45,118.4,45.35,"8,48,93,554","9,29,16,15,152.53","3,31,438"
EQ,712.45,712.45,696.4,712.45,701.1,699.5,701.37,895.85,237.15,"31,56,405","2,21,37,99,628.20","84,469"
EQ,170.0,171.66,168.66,170.74,169.51,169.61,169.86,196.8,85.5,"2,26,73,600","3,85,13,94,571.74","1,04,003"
EQ,"1,770.00","1,780.95","1,725.00","1,759.95","1,748.00","1,747.55","1,749.00","2,174.10",815.55,"7,84,726","1,37,24,86,463.25","43,760"
EQ,984.95,987.50,944.45,989.95,945.50,946.35,959.89,"1,097.00",581.6,"29,74,059","2,85,47,57,633.55","88,982"
EQ,333.0,333.2,318.05,331.7,320.3,319.65,323.49,333.3,166.0,"2,65,79,496","8,59,83,12,471.70","2,09,911"
EQ,505.3,506.4,486.75,505.25,488.0,488.0,492.19,527.4,226.85,"99,71,704","4,90,79,30,945.70","1,48,134"
EQ,"1,080.00","1,080.00","1,016.80","1,070.30","1,016.80","1,016.80","1,026.34","2,417.75",746.0,"6,19,455","63,57,69,338.40","19,993"
EQ,"3,172.00","3,179.95","3,105.60","3,173.35","3,116.95","3,110.30","3,128.40","3,217.60","2,220.30","65,70,195","20,55,41,78,349.45","2,13,186"
EQ,159.0,159.89,152.2,160.42,153.3,153.5,154.88,663.0,124.25,"77,56,475","1,20,12,92,393.86","73,455"
EQ,339.55,341.85,331.0,341.25,332.0,332.2,334.85,348.75,190.65,"1,29,37,990","4,33,23,14,990.20","1,15,962"
EQ,712.9,717.75,685.55,712.75,702.0,705.0,704.86,752.0,283.25,"28,84,304","2,03,30,27,222.40","71,475"
EQ,"1,750.00","1,751.90","1,712.60","1,747.55","1,724.85","1,723.30","1,730.74","2,174.10",815.55,"3,97,349","68,77,09,110.70","32,175"
EQ,108.45,109.72,105.5,108.3,105.94,106.27,106.82,118.4,45.35,"6,50,72,210","6,95,11,95,164.40","2,79,287"
EQ,409.2,409.55,395.0,410.7,397.0,397.55,400.84,506.0,167.0,"13,13,228","52,63,99,692.50","33,026"
EQ,700.0,701.6,690.0,699.5,695.0,694.5,694.4,895.85,237.15,"24,27,868","1,68,59,06,942.55","72,516"
EQ,228.86,228.86,219.02,228.86,219.24,219.76,221.96,239.11,108.35,"1,72,66,945","3,83,25,38,764.85","1,15,884"
EQ,377.75,378.0,362.9,377.75,364.9,364.65,369.99,393.2,185.8,"1,33,30,099","4,93,19,87,374.20","1,55,479"
EQ,55.38,55.87,53.82,55.39,54.5,54.55,54.67,56.49,17.45,"5,21,78,598","2,85,27,46,566.80","1,19,180"
EQ,170.9,170.9,165.15,169.61,165.44,165.49,166.99,196.8,85.5,"2,63,61,146","4,40,21,64,773.77","1,57,757"
EQ,318.15,318.15,301.8,318.15,305.5,303.8,307.41,687.95,293.4,"1,98,23,046","6,09,37,82,113.00","1,68,458"
EQ,702.0,702.0,642.8,676.6,642.8,642.8,665.92,828.0,253.0,"24,20,660","1,61,19,69,587.50","42,966"
EQ,145.0,147.49,140.18,146.44,140.8,140.9,143.3,170.5,45.35,"2,11,69,916","3,03,35,66,127.89","1,14,366"
EQ,274.0,280.8,266.75,278.3,268.17,269.84,273.52,311.8,106.0,"1,03,65,982","2,83,53,23,932.64","92,143"
EQ,346.55,346.7,338.9,347.05,343.25,342.9,342.66,355.75,191.7,"33,85,495","1,16,00,62,293.85","41,378"
EQ,682.55,684.5,659.7,679.6,660.0,664.15,671.54,814.9,532.0,"15,32,017","1,02,88,08,697.75","25,324"
EQ,429.95,429.95,412.85,429.95,414.7,414.15,419.34,464.2,216.75,"1,65,60,718","6,94,45,41,973.10","2,43,394"
EQ,358.6,358.9,340.6,357.65,342.0,341.65,347.13,594.8,239.2,"1,07,63,075","3,73,62,29,314.90","94,864"
EQ,630.2,668.0,624.4,642.8,663.9,663.0,656.51,828.0,253.0,"9,98,385","65,54,48,287.70","24,025"
EQ,364.75,377.25,362.35,364.65,372.75,373.5,372.92,393.2,192.95,"1,87,15,538","6,97,93,84,497.75","1,69,056"
EQ,105.8,108.65,104.3,106.27,107.49,107.3,107.08,118.4,47.4,"5,79,95,385","6,21,01,80,831.11","2,25,266"
EQ,165.49,169.0,163.88,165.49,168.05,168.19,167.4,196.8,85.5,"1,71,40,562","2,86,93,78,800.99","99,643"
EQ,693.0,709.95,682.25,694.5,699.0,696.15,697.91,895.85,237.15,"24,44,034","1,70,57,22,928.20","72,896"
EQ,268.0,276.9,263.41,269.84,269.85,269.08,270.86,311.8,106.0,"57,37,335","1,55,39,91,925.18","73,839"
EQ,217.8,226.45,216.16,219.76,222.89,222.87,223.33,239.11,111.5,"1,42,49,258","3,18,23,15,276.03","1,74,716"
EQ,717.0,726.0,702.55,705.0,707.55,709.8,709.56,752.0,285.0,"39,69,726","2,81,67,77,667.95","1,23,555"
EQ,54.66,55.44,53.5,54.55,55.24,55.08,54.41,56.49,17.45,"4,78,05,246","2,60,10,25,304.21","1,14,482"
EQ,139.98,144.79,138.13,140.9,144.03,144.18,142.91,170.5,52.75,"1,40,36,159","2,00,58,49,741.24","82,144"
EQ,488.0,496.0,483.55,488.0,492.0,491.2,492.11,527.4,226.85,"72,81,653","3,58,33,38,680.10","1,20,414"
EQ,151.21,159.56,147.15,153.5,149.8,149.61,151.12,663.0,124.25,"1,56,74,270","2,36,86,40,135.21","1,41,108"
EQ,342.3,344.1,335.5,342.9,340.55,341.35,341.1,355.75,191.7,"58,83,826","2,00,69,82,091.65","71,050"
EQ,"3,074.50","3,075.00","2,998.55","3,110.30","3,004.00","3,001.35","3,016.24","3,217.60","2,220.30","98,37,188","29,67,13,39,998.45","4,65,224"
EQ,330.0,339.4,329.5,332.2,338.7,338.6,337.11,348.75,190.65,"1,06,78,640","3,59,98,45,707.70","1,02,191"
EQ,942.00,958.55,930.35,946.35,953.50,952.60,950.47,"1,097.00",581.6,"24,89,828","2,36,65,04,131.65","57,887"
EQ,980.00,989.80,966.00,"1,016.80",966.00,966.00,969.67,"2,417.75",746.0,"13,72,041","1,33,04,32,163.55","36,028"
EQ,663.0,697.45,653.55,664.15,684.8,684.05,682.99,814.9,532.0,"44,30,119","3,02,57,27,261.95","80,579"
EQ,341.85,354.8,337.8,341.65,346.95,346.7,347.39,594.8,239.2,"1,35,06,968","4,69,21,93,986.30","1,15,102"
EQ,415.0,425.0,409.6,414.15,424.0,424.05,419.88,464.2,216.8,"94,37,893","3,96,27,43,619.05","1,36,622"
EQ,320.0,323.35,314.5,319.65,321.5,320.8,320.58,333.3,168.9,"2,22,34,557","7,12,79,18,984.60","1,48,194"
EQ,"1,723.95","1,735.65","1,700.20","1,723.30","1,718.85","1,715.25","1,720.04","2,174.10",815.55,"3,09,254","53,19,30,527.55","23,924"
EQ,304.55,317.15,300.1,303.8,308.1,308.25,310.94,687.95,293.4,"2,71,02,699","8,42,72,88,822.70","2,19,594"
EQ,395.0,401.85,388.4,397.55,397.0,394.65,395.26,506.0,167.0,"16,82,857","66,51,73,038.95","31,398"
EQ,108.18,108.87,96.67,107.3,103.59,103.75,103.37,118.4,47.4,"11,92,53,056","12,32,68,08,843.03","5,16,605"
EQ,320.05,321.4,297.4,320.8,314.9,314.15,311.53,333.3,168.9,"3,78,71,058","11,79,79,23,368.00","2,99,006"
EQ,311.45,312.3,296.1,308.25,306.0,306.0,304.62,687.95,293.4,"2,42,87,234","7,39,83,27,901.30","1,89,201"
EQ,169.35,169.35,160.66,168.19,165.85,165.82,165.49,196.8,85.5,"2,17,14,840","3,59,36,30,902.08","1,68,987"
EQ,"3,002.00","3,011.50","2,926.00","3,001.35","2,970.05","2,975.80","2,969.60","3,217.60","2,220.30","90,26,022","26,80,36,49,945.60","3,84,359"
EQ,348.35,348.7,329.5,346.7,345.0,346.5,339.97,594.8,239.2,"93,89,682","3,19,22,44,715.20","83,721"
EQ,269.9,272.78,241.54,269.08,264.1,265.49,263.24,311.8,106.0,"72,96,334","1,92,06,85,323.45","83,737"
EQ,428.65,428.65,400.0,424.05,416.4,416.45,416.63,464.2,216.8,"1,79,85,870","7,49,34,80,111.35","2,22,621"
EQ,670.15,683.0,630.0,663.0,659.95,658.55,660.52,828.0,253.0,"18,12,822","1,19,74,04,929.10","40,751"
EQ,57.2,57.83,54.0,55.08,57.83,57.83,57.54,57.83,17.45,"28,18,87,693","16,21,89,30,583.71","2,94,599"
EQ,339.1,340.5,321.1,338.6,334.5,334.25,332.85,348.75,190.65,"1,59,54,324","5,31,04,36,653.15","1,55,152"
EQ,955.20,961.60,927.25,952.60,953.00,952.80,942.45,"1,097.00",581.6,"13,97,714","1,31,72,77,685.25","61,402"
EQ,225.9,225.9,209.15,222.87,219.71,219.79,220.28,239.11,111.5,"1,84,37,981","4,06,15,60,758.40","1,15,759"
EQ,"1,750.00","1,792.00","1,680.00","1,715.25","1,722.00","1,720.30","1,754.11","2,174.10",815.55,"21,81,097","3,82,58,90,158.80","1,49,204"
EQ,717.8,731.95,682.0,709.8,696.0,697.1,708.19,752.0,285.0,"40,66,282","2,87,96,99,047.25","1,19,679"
EQ,969.95,987.00,917.70,966.00,931.00,931.65,943.56,"2,417.75",746.0,"9,86,507","93,08,25,427.45","50,110"
EQ,395.0,410.0,380.1,394.65,397.75,397.75,400.12,506.0,167.0,"34,07,900","1,36,35,74,792.55","71,545"
EQ,705.0,729.0,646.5,696.15,696.0,697.4,708.06,895.85,237.15,"1,00,69,127","7,12,95,55,530.90","2,43,627"
EQ,152.54,155.25,140.1,149.61,150.5,149.98,150.14,663.0,124.25,"1,89,95,758","2,85,20,61,379.99","1,38,521"
EQ,145.0,149.18,130.1,144.18,146.2,146.59,141.8,170.5,52.75,"3,30,60,907","4,68,80,58,351.51","1,82,564"
EQ,687.0,695.0,642.05,684.05,660.0,662.25,670.69,814.9,532.0,"30,60,265","2,05,24,81,025.50","71,746"
EQ,343.8,347.8,329.9,341.35,334.95,333.55,338.01,355.75,191.7,"65,45,361","2,21,24,15,964.90","73,480"
EQ,376.7,385.65,361.55,373.5,383.9,382.45,377.97,393.2,192.95,"4,98,82,257","18,85,37,97,115.55","3,63,117"
EQ,494.0,495.8,464.55,491.2,485.7,487.0,482.56,527.4,226.85,"1,13,11,831","5,45,86,47,001.55","1,76,756"
EQ,103.38,105.83,101.82,103.75,102.6,102.38,103.39,118.4,47.4,"6,92,56,057","7,16,01,03,731.96","2,47,414"
EQ,"2,970.00","3,019.00","2,952.80","2,975.80","2,988.00","2,991.40","2,987.68","3,217.60","2,220.30","59,56,681","17,79,66,51,407.60","2,32,120"
EQ,384.1,395.0,381.7,382.45,392.65,392.6,389.52,395.0,192.95,"3,68,68,466","14,36,08,97,784.10","2,67,768"
EQ,264.0,287.46,261.69,265.49,283.5,284.03,280.6,311.8,106.0,"1,25,33,270","3,51,68,45,171.35","1,14,154"
EQ,165.82,169.25,165.56,165.82,168.6,168.79,168.0,196.8,85.5,"1,60,76,455","2,70,08,77,614.31","83,203"
EQ,219.0,225.0,218.1,219.79,223.56,223.67,222.37,239.11,111.5,"1,01,23,727","2,25,12,20,605.02","63,526"
EQ,416.45,425.0,415.25,416.45,420.15,419.95,420.21,464.2,216.8,"94,55,765","3,97,33,61,972.75","1,08,596"
EQ,663.0,674.85,654.0,662.25,668.6,668.85,662.96,814.9,532.0,"17,37,358","1,15,17,97,701.25","34,132"
EQ,59.7,60.72,59.63,57.83,60.72,60.72,60.56,60.72,17.45,"9,07,57,700","5,49,59,32,089.21","83,560"
EQ,699.0,703.9,680.1,697.1,685.5,682.35,692.31,752.0,285.0,"19,84,059","1,37,35,75,517.30","64,474"
EQ,486.7,499.4,485.1,487.0,494.0,493.8,494.98,527.4,226.85,"68,23,248","3,37,73,59,578.90","90,411"
EQ,313.05,325.75,312.1,314.15,321.0,319.55,320.67,333.3,168.9,"2,82,59,305","9,06,17,95,536.40","2,03,970"
EQ,936.00,978.20,931.00,931.65,938.30,938.75,956.61,"2,417.75",746.0,"4,89,690","46,84,41,982.70","17,758"
EQ,149.95,161.0,148.22,149.98,159.75,160.08,157.82,663.0,124.25,"1,47,56,406","2,32,88,79,209.68","1,04,324"
EQ,"1,748.00","1,748.00","1,711.30","1,720.30","1,720.00","1,716.00","1,727.38","2,174.10",815.55,"5,35,197","92,44,89,591.10","32,256"
EQ,306.4,315.85,304.85,306.0,314.9,314.95,311.94,687.95,293.4,"1,69,34,157","5,28,23,79,300.30","1,32,180"
EQ,662.0,678.0,654.0,658.55,667.05,667.9,665.93,828.0,253.0,"8,92,415","59,42,82,451.15","15,740"
EQ,697.7,709.7,692.55,697.4,696.0,694.7,699.58,895.85,237.15,"22,10,803","1,54,66,34,902.45","69,705"
EQ,333.6,358.35,333.6,333.55,347.8,350.6,345.39,358.35,191.7,"1,28,59,504","4,44,15,61,113.15","1,08,943"
EQ,144.3,148.25,143.42,146.59,144.4,144.48,145.6,170.5,52.75,"1,42,71,564","2,07,80,07,858.76","80,765"
EQ,397.0,424.45,394.3,397.75,410.9,411.1,412.56,506.0,167.0,"42,79,760","1,76,56,37,675.85","64,636"
EQ,347.0,356.35,344.1,346.5,353.7,353.85,352.35,594.8,239.2,"82,07,636","2,89,19,65,799.25","56,062"
EQ,330.9,338.8,330.3,334.25,337.05,337.15,336.01,348.75,190.65,"1,25,73,882","4,22,49,72,330.80","88,901"
EQ,952.80,974.95,945.85,952.80,970.10,972.45,965.63,"1,097.00",581.6,"23,85,985","2,30,39,86,535.60","63,755"
EQ,694.0,709.45,686.15,694.7,697.0,695.2,696.46,895.85,237.15,"27,69,562","1,92,88,84,534.15","72,919"
EQ,660.0,674.0,656.05,668.85,671.8,669.65,664.59,814.9,532.0,"20,55,489","1,36,60,61,836.70","32,787"
EQ,406.95,415.0,404.15,411.1,409.0,408.25,410.57,506.0,167.0,"15,17,396","62,29,99,147.50","30,020"
EQ,62.29,63.75,60.8,60.72,62.01,61.47,62.73,63.75,17.45,"17,03,25,709","10,68,48,66,841.47","4,18,872"
EQ,166.89,177.56,166.54,168.79,177.25,176.85,174.02,196.8,85.5,"7,58,94,556","13,20,73,58,403.53","2,59,001"
EQ,318.05,337.55,316.1,319.55,335.0,335.8,330.29,337.55,168.9,"4,20,54,664","13,89,03,68,319.50","3,35,548"
EQ,312.95,327.15,310.8,314.95,326.5,326.15,322.25,687.95,293.4,"3,05,54,549","9,84,62,32,910.05","2,98,522"
EQ,491.0,503.55,484.0,493.8,496.5,494.0,494.5,527.4,226.85,"1,02,81,157","5,08,40,20,259.60","1,17,007"
EQ,350.0,376.9,347.15,353.85,374.1,373.75,367.66,594.8,239.2,"2,06,11,250","7,57,79,33,931.95","1,35,976"
EQ,344.6,367.9,342.35,350.6,367.9,365.35,357.78,367.9,191.7,"1,51,27,989","5,41,24,66,679.45","1,13,167"
EQ,143.0,143.6,140.59,144.48,140.9,141.04,141.94,170.5,52.75,"99,82,023","1,41,68,24,852.62","53,537"
EQ,101.4,103.8,101.01,102.38,101.99,101.96,102.3,118.4,47.4,"3,78,70,720","3,87,40,16,731.14","1,61,381"
EQ,277.54,289.5,275.64,284.03,279.0,281.57,283.96,311.8,106.0,"70,73,119","2,00,84,50,606.58","66,151"
EQ,330.45,342.6,330.45,337.15,338.05,339.45,336.46,348.75,190.65,"1,62,71,884","5,47,49,17,888.75","1,27,549"
EQ,222.0,229.79,218.97,223.67,228.9,228.4,227.02,239.11,111.5,"2,10,33,610","4,77,50,81,168.11","1,09,638"
EQ,390.95,396.3,386.25,392.6,391.9,392.15,392.68,396.3,192.95,"2,59,73,101","10,19,91,94,024.40","1,80,614"
EQ,682.35,689.45,666.0,682.35,669.5,668.15,674.74,752.0,285.0,"39,64,959","2,67,53,35,550.10","1,20,246"
EQ,"1,710.00","1,849.95","1,701.00","1,716.00","1,849.00","1,820.50","1,806.20","2,174.10",815.55,"30,02,543","5,42,31,93,699.10","1,38,274"
EQ,"2,962.00","3,000.95","2,954.15","2,991.40","2,988.35","2,984.80","2,980.72","3,217.60","2,220.30","62,59,938","18,65,91,22,151.40","2,21,753"
EQ,940.00,954.30,918.90,972.45,942.50,937.80,935.58,"1,097.00",581.6,"50,20,305","4,69,69,02,873.80","1,58,667"
EQ,416.35,425.75,412.65,419.95,424.75,423.35,420.62,464.2,216.8,"1,24,74,704","5,24,70,54,701.40","1,17,900"
EQ,159.0,169.0,156.49,160.08,163.9,164.45,164.2,663.0,124.25,"1,65,22,753","2,71,30,87,657.59","1,22,065"
EQ,662.0,672.0,653.0,667.9,658.25,656.35,662.05,828.0,253.0,"4,65,356","30,80,89,880.00","15,455"
EQ,"2,984.80","3,024.85","2,980.70","2,984.80","3,018.60","3,018.05","3,012.08","3,217.60","2,220.30","49,29,970","14,84,94,80,970.80","1,80,757"
EQ,327.95,329.4,323.4,326.15,329.05,328.8,326.78,687.95,293.4,"2,18,39,106","7,13,65,22,968.95","1,25,891"
EQ,281.99,294.0,281.5,281.57,287.0,287.8,289.3,311.8,106.0,"87,37,211","2,52,77,09,018.67","74,349"
EQ,230.0,232.62,229.24,228.4,230.2,230.64,230.83,239.11,111.5,"1,66,86,103","3,85,16,92,026.03","98,670"
EQ,165.5,174.0,163.63,164.45,169.0,170.22,170.02,663.0,124.25,"1,65,44,068","2,81,28,76,734.33","1,23,433"
EQ,103.5,107.4,103.5,101.96,104.55,104.62,105.45,118.4,47.4,"7,41,50,250","7,81,92,03,612.07","2,31,339"
EQ,156.53,159.65,147.5,141.04,148.0,148.11,153.28,170.5,52.75,"10,52,99,846","16,14,01,81,882.82","4,51,025"
EQ,659.95,689.15,657.1,656.35,685.9,686.35,683.02,828.0,253.0,"27,02,709","1,84,59,94,513.20","36,838"
EQ,368.4,377.95,366.55,365.35,372.8,372.4,373.16,377.95,191.7,"73,75,450","2,75,22,39,787.65","60,751"
EQ,947.20,973.50,942.30,937.80,972.00,972.35,967.90,"1,097.00",581.6,"31,21,650","3,02,14,34,382.90","78,789"
EQ,340.35,345.55,338.5,339.45,344.5,344.2,343.58,348.75,190.65,"1,14,68,068","3,94,01,65,669.25","1,00,657"
EQ,410.05,413.7,401.5,408.25,402.7,402.5,405.73,506.0,167.0,"16,08,348","65,25,57,669.85","23,944"
EQ,"1,887.80","1,903.65","1,788.00","1,820.50","1,797.95","1,803.70","1,839.00","2,174.10",815.55,"28,36,113","5,21,56,20,791.50","1,36,569"
EQ,700.0,727.8,698.6,695.2,713.6,712.65,713.36,895.85,237.15,"54,83,714","3,91,18,86,113.75","1,12,935"
EQ,379.4,379.5,370.2,373.75,377.3,376.55,375.3,594.8,239.2,"93,01,896","3,49,10,42,646.05","89,076"
EQ,394.95,399.5,389.7,392.15,396.55,396.3,395.13,399.5,192.95,"2,03,81,410","8,05,33,59,644.05","1,71,181"
EQ,498.25,511.7,498.25,494.0,508.45,509.85,508.06,527.4,226.85,"2,04,37,968","10,38,38,09,318.05","1,37,819"
EQ,178.34,178.92,175.55,176.85,176.49,176.55,176.82,196.8,85.5,"2,72,61,949","4,82,04,81,194.19","1,52,615"
EQ,670.0,705.8,670.0,668.15,693.0,693.55,693.69,752.0,285.0,"37,24,008","2,58,33,15,572.00","98,906"
EQ,62.68,63.0,61.0,61.47,62.1,61.89,62.19,63.75,17.45,"6,78,58,407","4,22,00,83,672.75","2,19,514"
EQ,668.2,687.0,668.2,669.65,685.0,683.0,682.86,814.9,532.0,"11,91,239","81,34,50,491.00","30,923"
EQ,336.5,338.5,330.1,335.8,332.3,331.6,332.46,338.5,168.9,"2,57,03,985","8,54,56,29,560.70","1,76,359"
EQ,432.0,446.2,430.15,423.35,445.0,444.7,440.53,464.2,216.8,"3,32,85,673","14,66,34,31,302.10","2,65,813"
EQ,178.0,181.7,178.0,176.55,180.14,180.39,180.12,196.8,85.5,"4,29,13,186","7,72,93,52,305.57","1,88,395"
EQ,105.25,105.78,104.26,104.62,105.45,105.36,105.18,118.4,48.4,"3,61,22,083","3,79,92,57,724.22","1,44,389"
EQ,333.8,339.55,330.75,331.6,333.65,332.9,334.5,339.55,171.4,"2,67,21,790","8,93,84,76,049.90","1,59,933"
EQ,404.0,408.3,392.65,396.3,394.3,393.9,399.01,408.3,209.65,"2,77,51,449","11,07,32,28,037.50","2,25,684"
EQ,446.95,450.0,441.0,444.7,442.8,442.25,444.83,464.2,228.05,"1,37,20,073","6,10,31,08,793.60","1,38,928"
EQ,694.0,704.0,671.0,686.35,680.3,680.2,680.53,828.0,253.0,"16,15,910","1,09,96,83,139.00","34,555"
EQ,514.5,515.7,507.5,509.85,511.95,512.15,512.42,527.4,226.85,"72,59,754","3,72,00,64,237.15","1,10,732"
EQ,62.95,64.98,62.38,61.89,64.98,64.98,63.91,64.98,17.7,"9,78,86,927","6,25,57,96,685.57","1,96,733"
EQ,979.50,982.80,963.50,972.35,969.00,966.90,970.07,"1,097.00",581.6,"15,96,044","1,54,82,78,958.60","62,267"
EQ,339.8,345.9,337.75,344.2,342.8,342.35,341.39,348.75,190.65,"3,18,49,674","10,87,31,55,666.50","1,63,414"
EQ,402.2,403.8,395.05,402.5,396.05,396.15,397.94,506.0,167.0,"16,19,884","64,46,15,395.55","27,637"
EQ,698.05,702.7,680.7,693.55,691.5,692.25,688.61,752.0,286.0,"38,82,488","2,67,35,21,369.05","98,393"
EQ,"1,824.85","1,855.00","1,800.10","1,803.70","1,837.90","1,836.25","1,836.62","2,174.10",815.55,"89,46,891","16,43,20,17,336.25","1,47,275"
EQ,685.0,699.7,683.5,683.0,691.0,691.3,695.04,814.9,532.0,"12,00,974","83,47,20,428.60","30,152"
EQ,719.0,724.95,715.05,712.65,718.0,716.4,719.52,895.85,259.5,"30,13,372","2,16,81,94,815.60","79,042"
EQ,175.31,180.96,171.55,170.22,174.0,173.61,175.71,663.0,124.25,"1,70,02,539","2,98,74,41,034.03","1,51,037"
EQ,370.95,374.4,367.65,372.4,370.45,370.85,371.44,377.95,191.7,"43,86,843","1,62,94,58,225.75","47,861"
EQ,149.4,152.25,147.9,148.11,150.5,150.83,150.18,170.5,52.75,"2,57,30,974","3,86,41,63,666.91","1,32,345"
EQ,289.95,293.57,284.5,287.8,285.0,286.0,287.98,311.8,106.0,"35,40,132","1,01,94,76,901.09","37,313"
EQ,231.5,234.17,230.0,230.64,232.0,231.87,232.01,239.11,111.5,"1,24,72,241","2,89,36,35,803.43","83,305"
EQ,"3,023.90","3,055.00","3,023.55","3,018.05","3,038.25","3,040.20","3,038.43","3,217.60","2,220.30","37,69,275","11,45,26,61,155.40","1,70,155"
EQ,386.0,389.3,378.8,376.55,381.95,381.05,383.37,594.8,239.2,"1,41,14,983","5,41,12,04,650.40","1,20,817"
EQ,333.4,338.95,331.05,328.8,338.4,337.9,336.08,687.95,293.4,"2,02,34,464","6,80,03,66,821.15","1,75,098"
EQ,65.81,68.22,65.63,64.98,68.22,68.22,67.78,68.22,17.7,"11,44,89,676","7,76,05,49,782.89","1,68,121"
EQ,692.0,728.5,691.05,692.25,717.0,715.25,717.71,752.0,286.0,"50,78,790","3,64,50,74,880.70","1,03,800"
EQ,966.90,981.65,956.10,966.90,981.65,976.50,972.19,"1,097.00",581.6,"12,15,074","1,18,12,88,584.65","49,179"
EQ,398.3,408.9,396.85,396.15,400.6,399.85,403.83,506.0,167.0,"16,01,750","64,68,27,561.20","28,562"
EQ,442.25,449.2,440.0,442.25,444.1,444.1,445.77,464.2,228.05,"1,12,62,582","5,02,05,25,754.35","1,16,028"
EQ,"3,034.05","3,050.00","3,020.00","3,040.20","3,023.00","3,026.30","3,033.38","3,217.60","2,220.30","41,14,104","12,47,96,37,390.30","1,84,296"
EQ,370.9,376.45,362.2,370.85,363.3,363.05,368.01,377.95,191.7,"50,03,531","1,84,13,32,692.85","54,418"
EQ,681.95,696.0,676.45,680.2,685.9,683.6,684.49,828.0,253.0,"9,31,922","63,78,90,022.80","22,886"
EQ,"1,845.00","1,876.45","1,824.00","1,836.25","1,824.70","1,832.40","1,855.72","2,174.10",815.55,"88,99,979","16,51,58,62,609.30","1,16,059"
EQ,338.55,359.05,337.3,337.9,348.3,348.2,352.06,687.95,293.4,"4,57,85,745","16,11,92,13,861.90","3,57,500"
EQ,233.7,236.4,231.9,231.87,233.49,233.75,234.31,239.11,111.5,"1,87,13,036","4,38,46,90,727.36","1,10,250"
EQ,397.0,412.7,397.0,393.9,406.65,406.95,407.76,412.7,209.65,"3,44,47,139","14,04,62,29,116.30","2,79,433"
EQ,512.15,525.6,509.95,512.15,519.0,519.35,520.62,527.4,226.85,"1,31,97,520","6,87,08,90,927.35","1,62,990"
EQ,173.9,179.63,171.5,173.61,176.05,175.91,176.53,663.0,124.25,"1,15,67,572","2,04,20,07,413.69","88,515"
EQ,149.89,151.9,149.32,150.83,150.65,150.85,150.54,170.5,52.75,"1,54,90,158","2,33,18,83,773.64","82,785"
EQ,285.89,296.5,284.33,286.0,293.4,293.73,293.09,311.8,106.0,"70,38,059","2,06,27,85,812.79","70,442"
EQ,375.15,401.75,370.1,381.05,395.1,395.75,392.52,594.8,239.2,"3,57,30,279","14,02,47,51,807.15","2,48,143"
EQ,332.0,338.25,331.0,332.9,332.0,331.9,334.65,339.55,171.4,"1,97,92,253","6,62,35,16,838.85","1,35,166"
EQ,180.0,185.97,178.31,180.39,183.4,182.95,183.57,196.8,85.5,"7,58,19,147","13,91,78,15,356.80","3,27,083"
EQ,691.0,715.0,689.05,691.3,712.0,713.05,706.41,814.9,532.0,"23,36,549","1,65,05,68,115.75","55,462"
EQ,105.36,106.65,105.25,105.36,105.44,105.49,105.86,118.4,48.4,"2,93,87,753","3,11,10,26,048.30","1,14,293"
EQ,720.0,735.0,716.4,716.4,730.0,729.25,728.87,895.85,259.5,"52,83,993","3,85,13,60,629.65","1,05,263"
EQ,345.0,356.95,343.3,342.35,349.5,349.8,353.17,356.95,190.65,"2,58,13,219","9,11,64,96,855.00","2,89,603"
EQ,241.0,246.3,238.46,233.75,241.15,240.97,242.43,246.3,111.5,"8,76,32,493","21,24,46,44,406.17","4,19,350"
EQ,183.5,184.85,180.08,182.95,181.85,181.67,182.12,196.8,85.5,"3,27,26,809","5,96,01,32,015.70","1,59,832"
