series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
EQ,227.3,244.4,225.05,227.55,241.6,242.55,237.93,293.75,84.9,"1,42,12,526","3,38,15,49,501.25","97,316"
EQ,314.9,316.0,310.75,312.5,313.75,313.15,313.65,317.25,190.65,"90,69,551","2,84,46,48,148.45","96,203"
EQ,132.35,135.9,131.3,131.8,134.35,134.75,134.02,170.5,35.15,"1,93,67,924","2,59,57,42,908.00","67,989"
EQ,640.0,640.35,629.05,640.35,634.25,635.95,635.06,652.0,214.0,"27,63,360","1,75,48,86,367.90","57,117"
EQ,315.85,318.25,315.0,313.15,316.0,316.9,316.95,318.25,190.65,"15,06,930","47,76,21,791.35","16,327"
EQ,"2,875.00","2,879.00","2,865.40","2,871.40","2,869.50","2,869.65","2,871.38","3,024.90","2,220.30","2,13,020","61,16,60,842.00","9,456"
EQ,613.75,634.3,609.65,609.65,628.1,628.9,622.29,663.0,110.8,"3,19,188","19,86,26,647.95","7,711"
EQ,636.0,642.0,633.55,635.95,634.75,634.7,637.09,652.0,214.0,"3,89,939","24,84,24,896.45","9,961"
EQ,314.0,316.0,312.0,312.2,313.1,313.5,314.03,323.15,191.7,"4,30,066","13,50,52,402.90","5,304"
EQ,206.0,210.35,205.5,203.9,208.55,208.75,208.4,213.65,102.95,"96,95,039","2,02,04,34,133.10","46,828"
EQ,"1,024.70","1,024.70","1,010.05","1,015.50","1,014.00","1,016.65","1,017.38","1,028.00",503.0,"1,14,170","11,61,54,435.95","5,651"
EQ,"1,837.45","1,840.50","1,825.00","1,833.00","1,834.00","1,831.95","1,832.22","2,018.95",815.55,"69,338","12,70,42,470.85","5,379"
EQ,164.4,165.4,164.2,164.05,165.0,164.9,164.83,196.8,83.55,"26,10,681","43,03,10,007.25","18,136"
EQ,818.0,823.0,808.0,804.1,822.0,820.65,818.79,823.0,253.0,"3,55,297","29,09,14,200.50","8,352"
EQ,437.8,443.75,436.5,436.3,441.05,441.45,440.85,464.2,201.8,"26,18,860","1,15,45,17,008.85","29,216"
EQ,97.0,98.5,95.5,99.25,97.75,97.9,97.5,115.85,42.55,"2,81,00,264","2,73,98,18,455.20","1,02,225"
EQ,"1,950.00","1,950.00","1,853.00","1,920.60","1,929.00","1,926.65","1,929.34","2,417.75",481.7,"98,436","18,99,16,283.20","6,236"
EQ,280.3,281.7,278.45,277.45,278.95,279.0,279.97,292.95,150.05,"20,10,993","56,30,19,294.50","16,538"
EQ,429.35,442.0,428.85,428.5,435.8,435.45,437.11,506.0,152.8,"10,92,162","47,73,92,356.20","14,188"
EQ,367.95,368.0,365.0,365.45,366.0,366.3,366.54,380.4,171.85,"10,50,300","38,49,77,737.10","13,371"
